-0.892	-0.39032	-0.686	0.189	-0.218	-0.123	-0.152	-0.014	-0.468	0.005	-0.488	-0.237	0.142	0.011	0.168	-0.707	-0.704	0.209	0.055	-0.533	-0.704	-0.205	-0.448	-0.276	-0.312	-0.773	-0.375	-0.503	-0.283	-0.205	-0.099	-0.484	-0.882	-0.552	-0.425	-0.581	-0.825	0.082	-0.145	-0.425	0.202	-0.402	-0.122	-0.605	-0.218	0.001	-0.889	-0.872	-0.575	-0.489	-0.539	-0.388	-0.209	-0.601	0.016	-0.396	-0.553	-0.567	-0.533	-0.472	-0.312	-0.328	0.09	-0.148	0.078	0.629	-0.292	-0.199	0.058	-0.52	-0.205	-0.47514	-0.79474	-0.75529	-0.43182	-0.14333	-0.074905	0.11977	-0.29644	-0.61318	-0.61158	-0.73711	-0.1128	-0.20571	-0.0989	-0.13346	-0.16212	-0.83464	-0.15076	-0.359	0.022719	-0.25173	0.12265	-0.41397	-0.39357	-0.13458	0.10648	-0.73614	-0.852	-0.558	-0.987	-0.381	-0.869	-0.948	-0.724	-0.549	-0.098	-0.247	-0.577	-0.688	-0.518	-1.22	-1.076	-0.694	-0.696	-0.123	-0.419	-0.154	-0.347	-0.184	-0.726	-0.48	-0.657	-0.884	-0.611	-0.641	-0.077	-0.217
-1.116	-0.449425	-0.866	0.191	-0.265	-0.15	-0.174	0.021	-0.582	-0.02	-0.585	-0.272	0.174	-0.031	0.165	-0.921	-0.927	0.224	0.032	-0.695	-0.811	-0.215	-0.618	-0.317	-0.431	-0.966	-0.489	-0.601	-0.315	-0.222	-0.087	-0.531	-1.065	-0.698	-0.698	-0.744	-1.059	0.113	-0.167	-0.535	0.192	-0.543	-0.153	-0.979	-0.327	0.035	-1.146	-1.162	-0.708	-0.624	-0.614	-0.457	-0.277	-0.717	0.009	-0.519	-0.695	-0.72	-0.79	-0.613	-0.442	-0.435	0.114	-0.205	0.083	0.793	-0.362	-0.229	0.067	-0.678	-0.271	-0.607	-1.0147	-0.91783	-0.54827	-0.17799	-0.093283	0.1341	-0.36181	-0.73745	-0.77863	-1.0067	-0.1902	-0.24421	-0.1597	-0.18603	-0.21082	-1.0439	-0.17814	-0.451	0.010439	-0.36272	0.15117	-0.50601	-0.50195	-0.13449	0.11749	-0.87099	-1.081	-0.692	-1.224	-0.43	-1.034	-1.189	-0.978	-0.686	-0.12	-0.289	-0.685	-0.863	-0.598	-1.505	-1.329	-0.92	-0.892	-0.152	-0.531	-0.117	-0.347	-0.155	-0.835	-0.675	-0.801	-1.062	-0.761	-0.804	-0.141	-0.26
-1.296	-0.525991	-1.066	0.206	-0.314	-0.157	-0.272	0.086	-0.678	-0.054	-0.678	-0.32	0.198	-0.059	0.19	-1.184	-1.139	0.255	0.013	-0.914	-0.916	-0.236	-0.772	-0.372	-0.56	-1.193	-0.618	-0.706	-0.304	-0.247	-0.108	-0.53	-1.278	-0.869	-1.001	-0.952	-1.307	0.177	-0.142	-0.685	0.156	-0.631	-0.209	-1.144	-0.446	0.049	-1.479	-1.525	-0.873	-0.77	-0.701	-0.528	-0.361	-0.84	-0.01	-0.634	-0.835	-0.897	-1.044	-0.772	-0.58	-0.553	0.123	-0.274	0.099	0.974	-0.429	-0.258	0.073	-0.852	-0.319	-0.79499	-1.226	-1.0853	-0.68234	-0.20179	-0.11459	0.17393	-0.45393	-0.90814	-0.97029	-1.3935	-0.32624	-0.29011	-0.22198	-0.24226	-0.28179	-1.2734	-0.2189	-0.533	0.034286	-0.45377	0.1687	-0.60073	-0.6186	-0.13304	0.15848	-1.0269	-1.35	-0.841	-1.51	-0.477	-1.205	-1.486	-1.276	-0.859	-0.151	-0.345	-0.833	-1.054	-0.699	-1.788	-1.636	-1.146	-1.148	-0.196	-0.701	-0.047	-0.343	-0.164	-1.002	-0.82	-0.965	-1.278	-0.993	-1.013	-0.197	-0.344
-1.53	-0.626752	-1.31	0.213	-0.366	-0.141	-0.38	0.17	-0.803	-0.115	-0.763	-0.394	0.25	-0.06	0.237	-1.482	-1.377	0.264	-0.008	-1.097	-1.053	-0.259	-0.965	-0.426	-0.7	-1.434	-0.771	-0.816	-0.323	-0.27	-0.092	-0.585	-1.529	-1.054	-1.231	-1.201	-1.655	0.249	-0.124	-0.84	0.111	-0.73	-0.288	-1.708	-0.606	0.042	-1.732	-1.895	-1.069	-0.925	-0.931	-0.612	-0.458	-0.98	-0.033	-0.787	-1.018	-1.059	-1.298	-0.948	-0.763	-0.639	0.088	-0.385	0.111	1.153	-0.496	-0.299	0.062	-1.05	-0.414	-1.0098	-1.4714	-1.2779	-0.82894	-0.22373	-0.13664	0.2046	-0.54756	-1.1023	-1.1668	-1.7536	-0.48526	-0.37501	-0.29552	-0.31243	-0.37486	-1.5168	-0.25926	-0.618	0.065164	-0.5768	0.18116	-0.74424	-0.7941	-0.12978	0.19449	-1.2103	-1.662	-1.025	-1.85	-0.559	-1.457	-1.819	-1.565	-1.061	-0.181	-0.421	-1.12	-1.271	-0.797	-2.193	-1.959	-1.328	-1.458	-0.232	-0.895	0.02	-0.365	-0.184	-1.169	-0.998	-1.153	-1.502	-1.26	-1.274	-0.268	-0.496
-1.784	-0.737343	-1.584	0.221	-0.451	-0.159	-0.478	0.273	-0.944	-0.151	-0.875	-0.499	0.271	-0.03	0.309	-1.85	-1.7	0.256	-0.026	-1.286	-1.223	-0.295	-1.212	-0.499	-0.911	-1.736	-0.958	-0.934	-0.33	-0.304	-0.164	-0.65	-1.838	-1.283	-1.474	-1.514	-2.026	0.281	-0.112	-1.017	0.098	-0.827	-0.395	-2.112	-0.794	0.031	-2.103	-2.321	-1.264	-1.099	-1.087	-0.699	-0.591	-1.133	-0.037	-0.969	-1.24	-1.244	-1.618	-1.129	-0.935	-0.774	0.039	-0.546	0.115	1.347	-0.568	-0.344	0.061	-1.214	-0.505	-1.23	-1.6861	-1.5059	-1.0265	-0.28452	-0.16999	0.22938	-0.63916	-1.3002	-1.3969	-2.0547	-0.68738	-0.49482	-0.39981	-0.40027	-0.46516	-1.7546	-0.33642	-0.716	0.071874	-0.6953	0.16819	-0.84787	-0.95804	-0.13195	0.2385	-1.4118	-1.989	-1.233	-2.253	-0.672	-1.68	-2.192	-1.836	-1.265	-0.213	-0.505	-1.339	-1.53	-0.867	-2.662	-2.349	-1.711	-1.804	-0.277	-1.137	0.056	-0.434	-0.212	-1.409	-1.255	-1.384	-1.776	-1.518	-1.555	-0.35	-0.616
-2.028	-0.884211	-1.915	0.247	-0.595	-0.203	-0.599	0.389	-1.113	-0.18	-0.936	-0.607	0.224	0.004	0.402	-2.267	-2.096	0.245	-0.056	-1.499	-1.459	-0.354	-1.47	-0.579	-1.087	-2.065	-1.149	-1.065	-0.367	-0.363	-0.259	-0.769	-2.192	-1.536	-1.641	-1.866	-2.505	0.307	-0.142	-1.206	0.031	-0.935	-0.532	-2.311	-1.03	-0.002	-2.499	-2.825	-1.498	-1.257	-1.211	-0.798	-0.743	-1.309	-0.054	-1.198	-1.456	-1.458	-1.939	-1.365	-1.148	-0.903	-0.038	-0.752	0.135	1.578	-0.652	-0.392	0.092	-1.453	-0.612	-1.4768	-1.9181	-1.7388	-1.2634	-0.40831	-0.21641	0.24307	-0.74967	-1.5517	-1.6571	-2.4524	-0.88091	-0.5951	-0.48769	-0.50234	-0.61732	-2.0177	-0.40359	-0.866	0.0044031	-0.78919	0.10703	-0.94865	-1.1035	-0.14044	0.27553	-1.6515	-2.276	-1.449	-2.681	-0.908	-1.935	-2.614	-2.141	-1.48	-0.253	-0.601	-1.596	-1.807	-0.968	-3.151	-2.764	-2.134	-2.17	-0.322	-1.372	0.035	-0.557	-0.277	-1.648	-1.514	-1.644	-2.113	-1.768	-1.857	-0.42	-0.786
-2.297	-1.08717	-2.147	0.297	-0.805	-0.285	-0.734	0.582	-1.306	-0.2	-0.995	-0.69	0.182	-0.012	0.484	-2.74	-2.512	0.235	-0.102	-1.701	-1.711	-0.438	-1.733	-0.667	-1.348	-2.428	-1.377	-1.209	-0.42	-0.385	-0.334	-0.892	-2.603	-1.807	-1.873	-2.259	-3.044	0.353	-0.162	-1.429	-0.035	-1.034	-0.669	-2.699	-1.291	-0.079	-2.925	-3.361	-1.741	-1.487	-1.356	-0.939	-0.925	-1.519	-0.068	-1.429	-1.713	-1.686	-2.31	-1.574	-1.351	-1.051	-0.133	-1.006	0.14	1.813	-0.748	-0.439	0.156	-1.747	-0.704	-1.7914	-2.1269	-2.0043	-1.5354	-0.5353	-0.26323	0.25684	-0.8686	-1.8461	-1.9378	-2.8839	-1.0962	-0.72021	-0.57411	-0.62942	-0.7186	-2.3576	-0.47217	-1.04	-0.030098	-0.90317	-0.0077719	-1.0782	-1.2837	-0.17283	0.32306	-1.906	-2.629	-1.709	-3.129	-1.11	-2.213	-3.065	-2.519	-1.723	-0.307	-0.694	-1.864	-2.132	-1.111	-3.709	-3.229	-2.493	-2.562	-0.354	-1.636	-0.046	-0.704	-0.346	-1.915	-1.78	-1.924	-2.477	-2.047	-2.204	-0.525	-0.931
-2.637	-1.29747	-2.421	0.343	-1.08	-0.404	-0.902	0.791	-1.524	-0.23	-1.085	-0.8	0.101	-0.116	0.491	-3.239	-3.013	0.23	-0.164	-1.899	-2.004	-0.535	-2.071	-0.808	-1.665	-2.817	-1.627	-1.389	-0.413	-0.479	-0.448	-1.053	-3.042	-2.079	-2.208	-2.71	-3.594	0.349	-0.178	-1.645	-0.13	-1.156	-0.826	-3.161	-1.577	-0.174	-3.508	-3.952	-2.008	-1.705	-1.488	-1.126	-1.147	-1.757	-0.085	-1.682	-2.006	-1.979	-2.665	-1.813	-1.582	-1.191	-0.261	-1.267	0.131	2.063	-0.859	-0.477	0.253	-2.041	-0.801	-2.1187	-2.3912	-2.2738	-1.8623	-0.63889	-0.32839	0.2681	-0.97744	-2.1765	-2.2952	-3.3518	-1.3221	-0.90892	-0.7631	-0.76914	-0.81837	-2.7487	-0.53871	-1.28	-0.035928	-1.0687	-0.19642	-1.1914	-1.4631	-0.22412	0.3856	-2.1947	-3.019	-2.019	-3.6	-1.359	-2.491	-3.604	-2.995	-1.973	-0.357	-0.839	-2.155	-2.481	-1.316	-4.288	-3.698	-2.804	-2.995	-0.438	-1.944	-0.074	-0.843	-0.379	-2.224	-2.105	-2.212	-2.876	-2.325	-2.551	-0.669	-1.021
-2.989	-1.49647	-2.666	0.374	-1.367	-0.541	-1.124	1.017	-1.764	-0.326	-1.153	-0.896	-0.007	-0.231	0.477	-3.796	-3.532	0.231	-0.246	-2.077	-2.296	-0.63	-2.413	-0.98	-1.998	-3.222	-1.91	-1.546	-0.326	-0.538	-0.574	-1.227	-3.509	-2.355	-2.636	-3.213	-4.156	0.298	-0.211	-1.892	-0.291	-1.227	-0.981	-3.629	-1.904	-0.311	-4.15	-4.626	-2.289	-2.004	-1.704	-1.342	-1.328	-2.013	-0.104	-1.905	-2.328	-2.276	-2.951	-2.068	-1.846	-1.333	-0.402	-1.537	0.103	2.227	-0.984	-0.526	0.329	-2.367	-0.928	-2.4492	-2.671	-2.5522	-2.1995	-0.7511	-0.38958	0.28729	-1.0652	-2.5449	-2.646	-3.9925	-1.5886	-1.1153	-0.97195	-0.92103	-0.98879	-3.1917	-0.61581	-1.54	-0.091271	-1.2207	-0.47506	-1.2793	-1.6057	-0.29156	0.49418	-2.4984	-3.39	-2.319	-4.048	-1.604	-2.759	-4.162	-3.508	-2.238	-0.405	-1.016	-2.46	-2.849	-1.545	-4.808	-4.244	-3.117	-3.453	-0.505	-2.257	-0.09	-0.898	-0.437	-2.576	-2.422	-2.529	-3.294	-2.599	-2.962	-0.784	-1.136
-3.358	-1.70987	-2.882	0.37	-1.581	-0.635	-1.38	1.243	-2.029	-0.447	-1.269	-1.014	-0.073	-0.377	0.41	-4.365	-3.924	0.245	-0.354	-2.224	-2.59	-0.731	-2.786	-1.179	-2.312	-3.645	-2.222	-1.696	-0.262	-0.549	-0.686	-1.396	-3.997	-2.673	-3.007	-3.731	-4.738	0.187	-0.254	-2.123	-0.479	-1.343	-1.101	-4.234	-2.228	-0.489	-4.827	-5.337	-2.611	-2.346	-2.065	-1.619	-1.456	-2.275	-0.142	-2.143	-2.655	-2.618	-3.326	-2.311	-2.161	-1.446	-0.58	-1.817	0.088	2.244	-1.118	-0.577	0.395	-2.694	-1.062	-2.7266	-3.0316	-2.8328	-2.5509	-0.81776	-0.45368	0.29837	-1.1583	-2.924	-3.0038	-4.6802	-1.8872	-1.3327	-1.1662	-1.0562	-1.1506	-3.7116	-0.7132	-1.82	-0.13798	-1.3939	-0.86241	-1.4022	-1.7614	-0.38412	0.64379	-2.8329	-3.659	-2.639	-4.5	-1.784	-3.084	-4.774	-3.975	-2.587	-0.469	-1.165	-2.886	-3.246	-1.739	-5.4	-4.723	-3.414	-3.919	-0.604	-2.563	-0.188	-0.972	-0.498	-2.922	-2.836	-2.873	-3.69	-2.979	-3.367	-0.958	-1.231
